4.331277153750316966e-01,4.852647600636627034e-01,1.113229968122262659e-01,9.942769383585309262e-02,1.067662559720351789e-01,2.602950698491498516e-01,1.182493681636111128e-17,1.346438259150016191e-17,1.459567252322507280e-01,4.959359751218005645e-19,4.610003134158656424e-02,1.459567252322507280e-01,4.381726040161543447e-18,4.395648318436183748e-54,7.825491394881592463e-53,1.934281311383391978e-63
1.817929256057595477e-01,1.919817133203254866e-01,2.537491738069845334e-17,1.346130374056357215e-18,1.803665181337017476e-01,1.739962699250628686e-01,8.547758012659019438e-18,3.589286755872534258e-17,1.728293741332930233e-01,1.749825203481042635e-17,1.407627220247714417e-01,1.164430295394397186e-01,1.638652180723227103e-01,1.934283343430254374e-63,6.667573316519745107e-52,1.934281311383436778e-63
2.812533806645748369e-01,2.458655789207784270e-01,2.041108362828545353e-01,2.431724115095513505e-01,6.878997911281238585e-17,3.922835657438945856e-02,1.887430697320700845e-01,1.426076796465600605e-17,6.854781646350594192e-18,1.128553940872950717e-01,3.667293879423102337e-02,8.171953971137551866e-18,5.398968667374556829e-02,1.419958803401484960e-53,6.543924084398527183e-53,1.934281311383434889e-63
3.656618165600555304e-01,2.375833921368486201e-01,5.791466541266173662e-01,2.457651474580219153e-01,1.934281311383375785e-63,4.711989208775439752e-02,5.567120539107384136e-01,1.934281311383375785e-63,1.934281311383375785e-63,1.550357952665479544e-01,6.515147706265836391e-02,1.934281311383375785e-63,2.694326734656070643e-01,1.934281311383375785e-63,1.934281311383375785e-63,1.934281311383375785e-63
3.954368034535236665e-01,4.370957151678171448e-01,5.680192731039587078e-02,1.934281311383367689e-63,4.718793889902756639e-02,8.025943588115588834e-02,1.934281311383367689e-63,2.585311293089007090e-02,1.934281311383367689e-63,2.439215905631028983e-02,1.934281311383367689e-63,1.934281311383367689e-63,7.172098312730293412e-02,1.934281311383367689e-63,1.934281311383367689e-63,1.934281311383367689e-63
7.662324376834266093e-02,2.645264305799084337e-01,5.390381094339352641e-02,1.934281311383367689e-63,1.934281311383367689e-63,1.520536879758456750e-01,1.934281311383367689e-63,5.992181850577736613e-02,2.036857505531710494e-02,8.090364440976988147e-02,1.934281311383367689e-63,9.701601614344398938e-03,1.212328895320512467e-01,1.934281311383367689e-63,1.934281311383367689e-63,1.934281311383367689e-63
2.164796832054699249e-01,1.553333305546302223e-01,3.616825595649870162e-01,1.934281311383338812e-63,1.893173773977257224e-01,1.934281311383338812e-63,1.934281311383338812e-63,9.776281205465162105e-02,5.341490730055708375e-02,2.619204552714958154e-02,1.934281311383338812e-63,4.616285726094306041e-02,1.934281311383338812e-63,1.934281311383338812e-63,1.934281311383338812e-63,1.934281311383338812e-63
1.415108155994790062e-01,3.393799935711294680e-02,6.740773098287093923e-01,7.607971290587459134e-02,1.702945367706407143e-01,1.518577803199735177e-01,1.204424250767955756e-01,3.506420781688127097e-02,1.934281311383343670e-63,1.311401561772270463e-01,1.420297996419942962e-02,1.934281311383343670e-63,2.635897796985224306e-01,1.934281311383343670e-63,1.934281311383343670e-63,1.934281311383343670e-63
1.786280778143397863e-01,7.618132828067707141e-02,4.602617993273255270e-01,5.649405325494017555e-02,5.599886080604304508e-36,1.176371783955634520e-01,2.458959095498589598e-01,3.973198391572219795e-02,1.934281311383363641e-63,1.411401939979425868e-01,5.461935873800482372e-02,1.934281311383363641e-63,3.028429454048728875e-01,1.934281311383363641e-63,1.934281311383363641e-63,1.934281311383363641e-63
9.576038280317364926e-01,3.200787888791132296e-01,1.263799313147496439e-01,1.816683303702011087e-01,2.626114125577792557e-01,2.720406543789844964e-02,6.546542889281370664e-35,1.249120672700718774e-34,2.976074468816566487e-18,4.304566529427041044e-02,7.147078659877789792e-52,1.167058963864725324e-34,3.109614000191921715e-18,1.934281564862854389e-63,1.934286411123497677e-63,1.934281311383363641e-63
